Ticker,Price,EPS,Book Value,Dividend per Share,Net Income,Shareholder Equity,Current Liabilities,EBIT,Total Assets,Total Liabilities,Revenue,Operating Income,Free Cash Flow
GTL.NS,9.220000267028809,-0.37,-383.309,0.0,-83818000.0,-60293197000.0,57959448000.0,608142000.0,1052568000.0,61345765000.0,2538794000.0,852844000.0,1862554000.0
GTLINFRA.NS,1.5099999904632568,-0.7,-4.551,0.0,-8751500000.0,-59613000000.0,95750300000.0,533600000.0,41168500000.0,100781500000.0,13440700000.0,1089400000.0,5846000000.0
GTPL.NS,118.75,3.93,103.881,4.0,478920000.0,11639080000.0,17476970000.0,937770000.0,32681170000.0,19752080000.0,34771950000.0,637090000.0,673080000.0
GUFICBIO.NS,365.2999877929688,6.19,59.956,0.1,696495000.0,6010768000.0,3875572000.0,1172550000.0,11693638000.0,5682870000.0,8198059000.0,1136284000.0,470425000.0
GUJALKALI.NS,559.5999755859375,-4.71,819.917,0.0,-651200000.0,60263900000.0,9334300000.0,-206800000.0,83434400000.0,23170500000.0,40729100000.0,-318800000.0,557400000.0
GUJAPOLLO.NS,479.2000122070313,1.97,382.23,2.0,14707000.0,4907734000.0,538149000.0,98365000.0,5546053000.0,638319000.0,415495000.0,-188462000.0,-374362000.0
GUJGASLTD.NS,434.7999877929688,16.66,123.269,5.82,11483200000.0,84896400000.0,29643300000.0,15819000000.0,126511100000.0,41614700000.0,164869500000.0,13691200000.0,10541300000.0
GUJTHEM.NS,362.9500122070313,4.08,22.795,0.67,487717000.0,2483819000.0,205597000.0,659019000.0,3013125000.0,529306000.0,1507999000.0,634695000.0,-251216000.0
GULFOILLUB.NS,1225.5999755859375,74.33,296.486,48.0,3598512000.0,14617194000.0,11618920000.0,5154157000.0,27577273000.0,12265323000.0,36311609000.0,4165128000.0,3418862000.0
GULFPETRO.NS,41.40999984741211,5.21,64.531,0.0,263242000.0,3289750000.0,673006000.0,366754000.0,4054474000.0,764724000.0,6092656000.0,340724000.0,-92233000.0
GULPOLY.NS,167.7899932861328,4.51,98.026,0.3,246663000.0,6131771000.0,4998689000.0,628407000.0,13228131000.0,7096360000.0,20196773000.0,579740440.0,-145897000.0
GVKPIL.NS,3.559999942779541,3.58,-3.893,0.0,5651500000.0,-6173700000.0,35869800000.0,10752100000.0,51690600000.0,40009600000.0,8021600000.0,4348100000.0,5888600000.0
GVPTECH.NS,10.06999969482422,-0.16,10.15,0.15,-26432320.0,1653038250.0,499835630.0,-26100680.0,2155791480.0,502753230.0,56901830.0,-8456780.0,503496360.0
GVT&D.NS,2819.800048828125,30.01,69.217,5.0,6083300000.0,17731100000.0,27897300000.0,8339800000.0,46610800000.0,28879700000.0,42923000000.0,7713900000.0,8162100000.0
HAL.NS,4452.60009765625,124.14,523.07,30.0,83641300000.0,349816100000.0,440952500000.0,108759400000.0,1062668500000.0,712816800000.0,301046900000.0,84352000000.0,118865400000.0
HAPPSTMNDS.NS,589.0499877929688,12.69,104.939,7.0,1846600000.0,15745800000.0,12079000000.0,3549500000.0,33590600000.0,17844800000.0,20608500000.0,2657400000.0,2252500000.0
HAPPYFORGE.NS,934.7000122070312,28.56,196.255,3.0,2674363000.0,18495461000.0,3263487000.0,3665485000.0,22152226000.0,3656765000.0,12964046000.0,3299902000.0,114806000.0
HARDWYN.NS,13.949999809265137,0.23,8.455,0.0,112312000.0,3934142000.0,660641000.0,170497000.0,4650184000.0,663305000.0,1846018000.0,162777000.0,6824000.0
HARIOMPIPE.NS,503.0,21.92,188.01,0.6,617260000.0,5726742000.0,5188518000.0,1280146000.0,11968719000.0,6241977000.0,13570488000.0,1251199000.0,-272978000.0
HARRMALAYA.NS,214.6499938964844,14.34,83.479,0.0,148876000.0,1541330000.0,2152414000.0,279814000.0,4719964000.0,3178634000.0,5139140000.0,161641000.0,63104000.0
HARSHA.NS,415.0499877929688,10.01,136.434,1.0,893100000.0,12541400000.0,3142400000.0,1444500000.0,16910600000.0,4369200000.0,14076500000.0,1550000000.0,-30000000.0
HATHWAY.NS,14.770000457763672,0.6,25.273,0.0,925100000.0,43824200000.0,7116600000.0,1263800000.0,51217700000.0,7376900000.0,20396500000.0,47500000.0,922300000.0
HATSUN.NS,914.2999877929688,12.72,77.073,12.0,2788100000.0,17175600000.0,18018300000.0,5591900000.0,48649000000.0,31473400000.0,86997600000.0,5396300000.0,7925100000.0
HAVELLS.NS,1570.0,22.51,132.768,10.0,14722600000.0,83237900000.0,47747600000.0,20337300000.0,138094100000.0,54684400000.0,216000800000.0,18323200000.0,7493400000.0
HAVISHA.NS,2.119999885559082,-0.14,0.806,0.0,-42658000.0,255142000.0,137630000.0,-1447000.0,749770000.0,494628000.0,145816000.0,-14047000.0,-13765000.0
HBLENGINE.NS,789.8499755859375,12.29,54.751,1.0,2769201000.0,14827481000.0,4261152000.0,3729628000.0,19794952000.0,4971717000.0,19672015000.0,3478584000.0,863581000.0
HCC.NS,27.46999931335449,0.95,4.978,0.0,1126300000.0,9057000000.0,48296700000.0,10783900000.0,80883300000.0,71826300000.0,54051300000.0,4938800000.0,1157600000.0
HCG.NS,666.75,2.61,66.426,0.0,444100000.0,9224500000.0,10464200000.0,2115200000.0,35432400000.0,25531900000.0,22181400000.0,1759400000.0,1082400000.0
HCL-INSYS.NS,14.390000343322754,-0.65,-8.953,0.0,-211100000.0,-2909800000.0,7225700000.0,-209400000.0,4332100000.0,7241900000.0,246100000.0,-522500000.0,-285100000.0
